Gene,A11.C636,A11,E9,HAP1.C597,KBM7
A1BG,0.82,0.90,0.99,0.71,0.20
A1CF,0.00,0.00,0.00,0.00,0.00
A2M,0.00,0.00,0.02,0.00,0.00
A2ML1,0.00,0.00,0.00,0.00,0.01
A4GALT,8.34,6.31,5.42,9.18,0.50
A4GNT,0.01,0.01,0.02,0.00,0.03
AAAS,7.98,8.92,9.11,7.65,4.64
AACS,0.71,0.68,0.55,0.72,0.41
AADACL2,0.00,0.00,0.00,0.00,0.00
AADACL3,0.00,0.00,0.00,0.00,0.00
AADAT,0.63,0.66,1.15,0.67,0.64
AAGAB,1.60,1.26,1.25,2.84,1.41
AAK1,0.09,0.09,0.08,0.07,0.05
AAMDC,0.27,0.27,0.28,0.29,0.34
AAMP,25.63,25.83,28.50,25.79,12.59
AANAT,0.01,0.02,0.02,0.01,0.01
AAR2,3.64,3.42,3.13,3.66,2.30
AARD,0.00,0.00,0.00,0.00,0.00
AARS,9.03,6.10,6.57,8.87,9.20
AARS2,3.79,4.57,4.62,4.53,2.17
AARSD1,2.91,3.22,3.55,2.90,2.69
AASDH,0.30,0.24,0.25,0.31,0.44
AASDHPPT,4.85,2.91,3.05,4.60,3.16
AASS,1.12,1.02,0.90,1.02,0.81
AATF,1.46,1.62,1.86,1.43,0.88
AATK,0.09,0.11,0.14,0.10,0.17
ABAT,0.11,0.12,0.08,0.09,0.10
ABCA1,0.01,0.01,0.00,0.01,0.00
ABCA10,0.00,0.00,0.00,0.00,0.02
ABCA12,0.00,0.00,0.00,0.00,0.00
ABCA13,0.00,0.01,0.00,0.00,0.00
ABCA2,2.21,2.74,3.00,2.17,8.54
ABCA3,0.92,1.51,1.43,1.08,0.54
ABCA4,0.00,0.00,0.00,0.00,0.00
ABCA5,0.07,0.05,0.03,0.06,0.11
ABCA6,0.00,0.00,0.00,0.00,0.05
ABCA7,0.61,0.90,1.01,0.63,0.59
ABCA8,0.00,0.00,0.00,0.00,0.00
ABCA9,0.00,0.00,0.00,0.00,0.08
ABCB1,0.28,0.23,0.09,0.23,0.01
ABCB10,1.53,1.00,0.94,1.46,0.98
ABCB11,0.00,0.00,0.00,0.00,0.00
ABCB4,0.01,0.01,0.00,0.02,0.00
ABCB5,0.00,0.00,0.00,0.00,0.00
ABCB6,0.40,0.55,0.63,0.44,0.75
ABCB7,0.64,0.49,0.50,0.66,1.27
ABCB8,2.20,2.48,2.40,2.30,0.77
ABCB9,0.23,0.26,0.27,0.26,0.17
ABCC1,0.61,0.59,0.56,0.66,0.54
ABCC10,1.21,1.38,1.45,1.13,0.42
ABCC11,0.00,0.01,0.01,0.01,0.00
ABCC12,0.00,0.00,0.00,0.00,0.00
ABCC2,0.01,0.01,0.00,0.01,0.01
ABCC3,0.00,0.00,0.00,0.00,0.00
ABCC4,0.15,0.12,0.10,0.14,0.21
ABCC5,0.81,0.82,0.75,0.72,0.58
ABCC6,0.03,0.02,0.03,0.03,0.07
ABCC8,0.08,0.08,0.07,0.07,0.03
ABCC9,0.00,0.00,0.00,0.00,0.00
ABCD1,0.45,0.54,0.91,0.54,0.85
ABCD2,0.00,0.00,0.00,0.01,0.01
ABCD3,0.74,0.53,0.51,0.70,0.45
ABCD4,3.06,3.22,3.28,2.56,2.36
ABCE1,8.04,5.54,5.08,7.46,5.87
ABCF1,10.13,10.80,10.94,10.44,5.35
ABCF2,9.36,7.92,7.61,9.08,4.52
ABCF3,7.37,7.09,7.16,7.29,5.58
ABCG1,0.00,0.00,0.00,0.00,0.10
ABCG2,0.01,0.01,0.01,0.01,0.02
ABCG4,0.22,0.17,0.27,0.18,0.06
ABCG5,0.02,0.01,0.01,0.01,0.00
ABCG8,0.00,0.00,0.00,0.00,0.00
ABHD1,0.29,0.30,0.28,0.31,0.27
ABHD10,2.74,2.02,1.53,2.60,2.83
ABHD11,4.90,5.40,6.67,4.38,2.22
ABHD12,0.59,0.60,0.57,0.60,0.55
ABHD12B,0.12,0.12,0.06,0.10,0.10
ABHD13,1.69,1.13,1.04,1.61,1.62
ABHD14A,1.34,1.46,1.52,1.17,2.28
ABHD14A-ACY1,2.00,2.07,2.34,1.87,2.98
ABHD14B,7.57,7.47,7.19,6.98,20.93
ABHD15,3.35,2.56,2.36,3.06,2.37
ABHD16A,2.17,2.22,2.30,2.22,2.22
ABHD16B,0.49,0.91,1.10,0.58,1.83
ABHD17A,3.20,4.22,4.16,3.16,3.00
ABHD17B,1.13,0.62,0.41,0.98,0.57
ABHD17C,0.56,0.35,0.28,0.95,0.81
ABHD2,0.73,0.56,0.54,1.28,1.76
ABHD3,0.58,0.41,0.41,0.57,0.57
ABHD4,0.86,0.76,0.64,0.71,1.17
ABHD5,0.43,0.31,0.27,0.44,0.20
ABHD6,0.26,0.21,0.15,0.26,0.12
ABHD8,0.85,0.97,0.86,0.81,0.61
ABI1,0.50,0.46,0.46,0.50,0.70
ABI2,0.45,0.38,0.41,0.44,0.31
ABI3,0.02,0.01,0.01,0.03,0.01
ABI3BP,0.00,0.00,0.00,0.00,0.01
ABL1,0.11,0.20,0.30,0.09,1.71
ABL2,0.65,0.56,0.52,0.73,0.62
ABLIM1,0.11,0.11,0.12,0.12,0.01
ABLIM2,0.00,0.00,0.01,0.00,0.00
ABLIM3,0.00,0.00,0.00,0.00,0.00
ABR,0.44,0.48,0.46,0.43,0.58
ABRA,0.00,0.00,0.00,0.00,0.00
ABRACL,5.24,3.28,2.31,4.36,3.58
ABT1,16.19,16.09,16.30,16.65,12.02
ABTB1,0.38,0.53,0.48,0.31,1.89
ABTB2,0.10,0.12,0.10,0.11,0.05
AC000003.2,0.00,0.00,0.00,0.00,0.02
AC002398.9,4.13,4.08,4.21,3.78,2.88
AC002472.13,0.01,0.00,0.00,0.00,0.00
AC003005.4,0.66,0.50,0.55,0.64,0.91
AC003102.1,0.00,0.00,0.01,0.01,0.01
AC004076.9,0.43,0.39,0.32,0.49,0.45
AC004381.6,0.41,0.39,0.37,0.31,0.84
AC004466.1,3.03,3.81,3.64,3.66,9.51
AC004899.1,0.00,0.00,0.00,0.00,0.01
AC005003.1,0.47,0.73,0.86,0.54,0.30
AC005481.5,0.00,0.00,0.00,0.01,0.02
AC005606.1,3.52,4.38,5.44,3.39,0.68
AC005609.1,0.02,0.01,0.01,0.01,0.01
AC006116.20,0.01,0.00,0.00,0.00,0.01
AC006126.3,0.00,0.00,0.01,0.00,0.02
AC006435.1,0.08,0.10,0.12,0.09,0.06
AC006455.1,0.01,0.03,0.03,0.06,0.01
AC006486.1,0.55,0.47,0.55,0.66,0.16
AC006946.15,0.03,0.03,0.05,0.04,0.01
AC006967.1,0.00,0.00,0.00,0.02,0.07
AC007040.11,3.02,2.76,2.47,3.07,1.75
AC007375.1,0.00,0.00,0.02,0.02,0.00
AC007401.2,0.67,0.54,0.50,0.67,0.49
AC007421.1,0.25,0.15,0.00,0.13,0.00
AC007773.3,0.19,0.20,0.41,0.22,0.04
AC007952.5,0.06,0.05,0.09,0.05,0.01
AC007952.6,0.01,0.03,0.03,0.02,0.00
AC008060.7,0.00,0.00,0.00,0.00,0.00
AC008132.1,0.00,0.00,0.00,0.00,0.00
AC008132.13,0.00,0.00,0.00,0.00,0.00
AC008443.1,4.76,4.92,4.58,3.95,10.24
AC008948.1,0.59,0.31,0.13,1.04,4.34
AC008964.1,0.00,0.00,0.00,0.00,0.97
AC009365.3,0.00,0.00,0.00,0.00,0.00
AC009403.2,0.16,0.17,0.15,0.13,0.46
AC009892.10,0.00,0.00,0.00,0.00,0.01
AC010327.2,2.12,2.88,3.33,2.27,3.25
AC010336.1,3.03,2.44,2.51,2.86,1.06
AC010441.1,0.61,0.48,0.46,0.55,5.99
AC010536.1,1.01,1.21,1.63,0.81,0.38
AC010547.9,0.43,0.44,0.48,0.47,0.48
AC010642.1,2.21,2.26,2.20,2.14,1.27
AC011294.3,0.00,0.00,0.00,0.00,0.00
AC011366.3,0.01,0.00,0.01,0.00,0.00
AC011897.1,0.12,0.14,0.28,0.13,0.39
AC011997.1,0.57,0.41,0.40,0.59,0.62
AC012123.1,0.18,0.26,0.02,0.15,0.00
AC012215.1,0.00,0.01,0.00,0.00,0.00
AC015987.2,62.48,31.82,24.51,58.54,58.17
AC016586.1,0.02,0.00,0.01,0.00,0.01
AC016757.3,0.00,0.00,0.00,0.01,0.01
AC018755.1,0.15,0.14,0.21,0.16,0.60
AC018816.3,0.05,0.03,0.02,0.04,0.13
AC019294.1,0.14,0.15,0.18,0.25,1.05
AC020907.1,0.57,0.43,0.40,0.41,0.00
AC020922.1,2.65,3.93,5.78,3.01,1.33
AC021860.1,0.01,0.01,0.01,0.02,0.02
AC022431.2,0.00,0.00,0.00,0.00,0.00
AC022498.1,0.00,0.00,0.00,0.00,0.00
AC022532.1,0.03,0.06,0.05,0.02,0.02
AC023469.1,0.00,0.00,0.00,0.00,0.00
AC023590.1,0.00,0.00,0.00,0.00,0.00
AC023632.1,0.02,0.01,0.02,0.00,0.03
AC024257.1,0.00,0.00,0.01,0.00,0.01
AC024592.12,1.64,2.14,2.42,1.69,1.40
AC024940.1,0.11,0.11,0.11,0.12,0.06
AC026310.1,0.01,0.00,0.01,0.00,0.01
AC026703.1,0.04,0.00,0.01,0.06,19.18
AC027228.1,0.05,0.04,0.05,0.04,0.06
AC027763.2,0.35,0.44,0.32,0.31,0.74
AC037459.4,1.16,1.23,1.46,1.13,1.14
AC040160.1,0.03,0.05,0.05,0.03,0.02
AC062017.1,0.07,0.08,0.06,0.09,0.17
AC064874.1,0.00,0.00,0.00,0.00,0.01
AC068987.1,0.49,0.55,0.86,0.74,0.04
AC069547.1,0.27,0.25,0.14,0.27,0.40
AC074091.13,0.01,0.00,0.01,0.00,0.00
AC074212.3,0.03,0.02,0.03,0.03,0.00
AC079210.1,0.04,0.08,0.14,0.08,0.03
AC079341.1,0.01,0.00,0.00,0.02,0.00
AC079354.1,0.00,0.00,0.00,0.00,0.00
AC079602.1,0.00,0.01,0.00,0.00,0.01
AC090186.1,2.56,2.48,2.10,1.78,6.90
AC090616.2,0.24,0.27,0.34,0.17,0.42
AC091801.1,0.00,0.00,0.00,0.00,0.00
AC092675.3,0.38,0.45,0.76,0.51,0.00
AC092687.4,0.00,0.00,0.00,0.00,0.00
AC092811.1,0.45,0.43,0.27,0.30,0.45
AC093157.1,5.78,4.76,4.90,5.92,5.87
AC093802.1,0.00,0.00,0.00,0.00,0.00
AC097381.1,0.02,0.03,0.03,0.03,0.00
AC102948.2,0.00,0.00,0.00,0.00,0.00
AC103801.2,2.34,2.94,2.84,2.47,3.26
AC104472.1,0.04,0.02,0.02,0.04,0.07
AC104532.2,0.38,0.51,0.50,0.29,0.61
AC104841.2,26.29,20.02,18.50,25.67,12.27
AC105020.1,0.11,0.18,0.20,0.18,0.30
AC106876.2,0.00,0.00,0.00,0.00,0.00
AC107021.1,0.05,0.11,0.06,0.10,0.00
AC110619.2,0.02,0.05,0.06,0.02,0.01
AC110781.3,0.00,0.00,0.00,0.00,0.02
AC114546.1,12.35,7.71,8.00,11.63,11.82
AC115618.1,8.45,9.81,9.92,9.46,6.96
AC117395.1,0.67,0.78,1.18,0.78,0.22
AC117834.1,9.59,6.30,3.79,6.50,2.82
AC119673.1,125.55,98.86,84.32,124.78,54.35
AC120194.1,30.99,15.08,16.10,26.14,64.34
AC124890.1,0.01,0.05,0.03,0.01,0.06
AC127496.1,0.55,0.79,0.93,0.50,1.05
AC129492.6,1.40,1.35,1.31,1.79,2.98
AC131097.4,0.00,0.01,0.01,0.01,0.02
AC131971.1,0.32,0.18,0.21,0.20,0.13
AC132186.1,0.01,0.01,0.00,0.00,0.01
AC132216.1,0.00,0.00,0.00,0.00,0.34
AC132872.2,0.10,0.13,0.12,0.13,0.24
AC135178.1,0.51,0.51,0.32,0.42,0.64
AC135983.2,0.02,0.03,0.02,0.02,0.02
AC137932.1,1.51,1.88,2.17,1.65,1.14
AC139100.2,0.76,0.60,0.50,0.63,0.66
AC139426.2,0.03,0.03,0.05,0.05,0.24
AC140481.2,0.00,0.00,0.00,0.00,0.00
AC144568.2,0.02,0.03,0.02,0.00,0.01
AC145676.2,0.04,0.01,0.01,0.02,0.01
AC174470.1,3.85,5.92,6.36,3.59,6.13
AC226150.4,0.19,0.21,0.19,0.18,0.18
ACAA1,3.92,3.85,3.56,3.79,2.36
ACAA2,4.05,2.86,3.09,4.21,2.51
ACACA,0.94,0.70,0.67,1.02,0.73
ACACB,0.09,0.10,0.11,0.09,0.06
ACAD10,0.39,0.44,0.38,0.40,0.47
ACAD11,0.27,0.24,0.23,0.27,0.30
ACAD8,3.40,2.86,2.78,2.88,2.84
ACAD9,2.56,2.63,2.60,2.62,1.82
ACADL,0.02,0.01,0.05,0.02,0.00
ACADM,2.03,1.49,1.79,1.81,1.89
ACADS,1.05,1.05,0.84,1.09,1.52
ACADSB,1.33,0.94,0.64,1.29,0.66
ACADVL,19.90,22.31,31.60,18.93,43.47
ACAN,0.00,0.00,0.00,0.01,0.01
ACAP1,0.01,0.00,0.01,0.01,2.48
ACAP2,0.37,0.28,0.24,0.33,0.42
ACAP3,2.73,4.21,4.14,2.76,1.50
ACAT1,4.70,3.81,3.54,5.17,5.57
ACAT2,9.89,7.28,6.36,9.60,3.78
ACBD3,1.63,1.28,1.29,1.60,1.07
ACBD4,1.38,1.98,2.05,1.38,2.50
ACBD5,0.52,0.45,0.39,0.57,0.33
ACBD6,0.25,0.20,0.17,0.25,0.26
ACBD7,0.32,0.24,0.31,0.30,0.11
ACCS,1.07,1.42,1.21,1.12,4.23
ACCSL,0.00,0.00,0.00,0.01,0.00
ACD,12.54,16.00,18.96,11.60,5.93
ACE,0.64,0.58,0.50,0.51,0.38
ACE2,0.00,0.00,0.00,0.00,0.00
ACER1,0.00,0.00,0.00,0.00,0.00
ACER2,0.02,0.02,0.02,0.02,0.06
ACER3,0.18,0.15,0.13,0.17,0.12
ACHE,0.83,1.07,1.67,0.57,0.52
ACIN1,8.18,9.93,10.12,8.38,6.26
ACKR2,0.00,0.00,0.00,0.00,0.01
ACKR3,0.16,0.24,0.02,0.26,0.00
ACKR4,0.09,0.11,0.13,0.08,0.18
ACLY,10.61,9.48,7.85,10.33,5.13
ACMSD,0.04,0.05,0.05,0.05,0.07
ACN9,0.46,0.32,0.29,0.42,0.37
ACO1,1.55,1.18,1.17,1.37,0.93
ACO2,3.67,4.10,3.96,3.82,2.50
ACOT1,0.01,0.00,0.00,0.00,0.00
ACOT11,0.04,0.04,0.03,0.04,0.10
ACOT12,0.00,0.00,0.00,0.00,0.00
ACOT13,0.95,0.86,0.76,0.87,1.03
ACOT2,0.00,0.00,0.00,0.01,0.01
ACOT4,0.00,0.00,0.00,0.00,0.00
ACOT6,0.00,0.00,0.00,0.01,0.00
ACOT7,1.00,1.01,1.11,1.00,0.43
ACOT8,1.49,1.43,1.38,1.53,1.32
ACOT9,1.27,1.07,0.98,1.20,1.20
ACOX1,1.42,1.08,1.10,1.35,0.76
ACOX2,0.00,0.00,0.00,0.00,0.00
ACOX3,0.17,0.18,0.15,0.16,0.26
ACOXL,0.00,0.00,0.00,0.00,0.00
ACP1,11.41,8.73,8.73,11.36,7.59
ACP2,2.77,3.07,3.29,2.76,1.30
ACP5,0.00,0.00,0.01,0.01,0.00
ACP6,0.50,0.58,0.57,0.51,0.67
ACPL2,0.76,0.57,0.42,0.64,0.32
ACPP,0.00,0.00,0.00,0.00,0.13
ACR,0.00,0.00,0.00,0.01,0.02
ACRBP,0.04,0.05,0.07,0.02,0.20
ACRC,0.13,0.12,0.18,0.14,0.20
ACRV1,0.20,0.22,0.30,0.16,0.16
ACSBG1,1.20,0.88,0.80,2.08,0.85
ACSBG2,0.02,0.03,0.03,0.02,0.07
ACSF2,0.17,0.19,0.20,0.17,0.60
ACSF3,0.40,0.55,0.54,0.39,0.54
ACSL1,1.78,1.14,0.81,1.45,1.21
ACSL3,0.55,0.47,0.90,0.59,1.22
ACSL4,0.91,0.57,0.36,0.80,1.95
ACSL5,0.01,0.01,0.01,0.01,1.82
ACSL6,0.02,0.01,0.02,0.02,0.00
ACSM1,0.00,0.00,0.00,0.00,0.01
ACSM2A,0.00,0.00,0.00,0.00,0.00
ACSM3,0.42,0.21,0.21,0.38,2.80
ACSM4,0.00,0.00,0.00,0.00,0.01
ACSM5,0.00,0.00,0.00,0.00,0.00
ACSS1,0.66,0.53,0.47,0.60,2.11
ACSS2,0.85,0.84,0.75,0.90,1.24
ACSS3,0.00,0.00,0.00,0.00,0.00
ACTA1,1.44,2.87,3.41,1.32,1.03
ACTA2,0.15,0.18,0.23,0.09,0.89
ACTB,946.86,1089.66,1215.38,913.66,727.74
ACTBL2,0.01,0.00,0.00,0.00,0.00
ACTC1,0.01,0.00,0.00,0.01,0.01
ACTG1,1045.79,1038.66,1109.70,985.58,741.90
ACTG2,0.70,1.22,1.25,1.24,0.01
ACTL10,0.02,0.05,0.06,0.02,0.03
ACTL6A,4.80,3.87,4.06,4.62,3.24
ACTL6B,0.00,0.00,0.00,0.00,0.00
ACTL8,0.04,0.06,0.06,0.03,0.00
ACTL9,0.00,0.00,0.00,0.00,0.01
ACTN1,1.97,1.92,2.05,1.94,1.28
ACTN2,0.06,0.07,0.04,0.06,0.04
ACTN3,0.01,0.01,0.01,0.01,0.01
ACTN4,3.42,4.07,4.27,3.34,2.23
ACTR10,1.79,1.20,1.12,1.65,1.08
ACTR1A,8.22,7.58,6.75,8.09,3.79
ACTR1B,5.41,5.09,4.76,5.00,8.60
ACTR2,8.20,4.91,4.36,7.49,9.29
ACTR3,5.01,3.56,3.40,4.65,3.38
ACTR3B,0.17,0.16,0.17,0.17,0.15
ACTR3C,0.02,0.02,0.02,0.02,0.03
ACTR5,1.15,1.08,1.13,1.07,1.39
ACTR6,1.71,0.97,0.91,1.58,1.24
ACTR8,2.44,2.01,2.14,2.39,2.22
ACTRT3,1.05,0.93,0.77,0.84,0.25
ACVR1,0.14,0.11,0.10,0.12,0.09
ACVR1B,0.88,0.72,0.85,0.88,0.43
ACVR1C,0.01,0.01,0.00,0.01,0.00
ACVR2A,0.19,0.14,0.18,0.22,0.06
ACVR2B,0.62,0.57,0.65,0.59,0.46
ACVRL1,0.00,0.00,0.00,0.00,0.00
ACY1,3.47,3.50,4.11,3.35,4.78
ACY3,0.00,0.00,0.00,0.00,0.00
ACYP1,1.07,0.92,0.97,1.00,1.01
ACYP2,0.01,0.01,0.02,0.02,0.01
AD000671.6,2.21,2.89,3.23,2.05,3.37
ADA,0.88,0.71,0.51,0.74,3.40
ADAD1,0.00,0.00,0.00,0.00,0.00
ADAD2,0.01,0.01,0.00,0.00,0.01
ADAL,0.00,0.00,0.00,0.00,0.00
ADAM10,0.66,0.47,0.40,0.66,1.60
ADAM11,1.85,2.38,2.14,1.83,0.94
ADAM12,0.00,0.00,0.00,0.00,0.00
ADAM15,13.51,12.99,10.49,14.20,11.77
ADAM17,0.86,0.69,0.63,0.83,0.60
ADAM18,0.00,0.00,0.00,0.00,0.00
ADAM19,0.05,0.03,0.01,0.07,0.00
ADAM2,0.00,0.00,0.00,0.00,0.00
ADAM20,0.00,0.00,0.01,0.00,0.01
ADAM21,0.02,0.01,0.00,0.02,0.01
ADAM22,0.05,0.04,0.04,0.04,0.08
ADAM23,0.14,0.15,0.24,0.13,0.00
ADAM28,0.00,0.00,0.00,0.00,0.17
ADAM29,0.00,0.00,0.00,0.00,0.00
ADAM32,0.00,0.00,0.00,0.00,0.00
ADAM33,0.00,0.00,0.00,0.00,0.03
ADAM7,0.00,0.00,0.00,0.00,0.00
ADAM8,0.09,0.12,0.23,0.07,0.36
ADAM9,0.83,0.62,0.54,0.89,0.69
ADAMTS1,2.01,1.35,0.98,1.23,0.36
ADAMTS10,0.02,0.02,0.06,0.04,1.04
ADAMTS12,0.03,0.02,0.00,0.01,0.00
ADAMTS13,0.07,0.11,0.13,0.06,0.04
ADAMTS16,0.00,0.00,0.00,0.00,0.00
ADAMTS17,0.01,0.01,0.01,0.01,0.03
ADAMTS18,0.00,0.00,0.00,0.00,0.00
ADAMTS19,0.00,0.00,0.00,0.00,0.00
ADAMTS2,0.08,0.08,0.09,0.09,0.18
ADAMTS20,0.01,0.01,0.00,0.00,0.00
ADAMTS3,0.07,0.04,0.03,0.04,0.03
ADAMTS4,0.01,0.01,0.01,0.02,0.00
ADAMTS5,0.00,0.00,0.00,0.00,0.00
ADAMTS6,0.00,0.00,0.00,0.00,0.01
ADAMTS7,0.10,0.14,0.20,0.18,0.50
ADAMTS8,0.00,0.00,0.00,0.00,0.03
ADAMTS9,0.10,0.07,0.08,0.06,0.00
ADAMTSL1,0.02,0.03,0.04,0.02,0.00
ADAMTSL2,0.00,0.00,0.00,0.00,0.00
ADAMTSL3,0.00,0.00,0.00,0.00,0.00
ADAMTSL4,0.28,0.40,0.44,0.39,0.78
ADAMTSL5,0.92,1.12,1.57,0.98,0.07
ADAP1,0.16,0.19,0.14,0.16,0.32
ADAP2,0.61,0.51,0.54,0.66,0.48
ADAR,7.63,6.73,6.63,7.71,7.83
ADARB1,0.19,0.20,0.20,0.16,0.02
ADARB2,0.00,0.00,0.00,0.00,0.00
ADAT1,0.75,0.72,0.79,0.72,0.62
ADAT2,0.49,0.44,0.44,0.50,2.00
ADAT3,0.41,0.50,0.49,0.41,0.19
ADC,0.17,0.20,0.24,0.12,0.11
ADCK1,0.20,0.20,0.22,0.21,0.07
ADCK2,2.11,1.80,1.63,2.06,0.96
ADCK3,0.62,0.65,0.62,0.64,1.93
ADCK4,1.21,1.15,1.19,1.14,0.61
ADCK5,0.34,0.38,0.42,0.28,0.53
ADCY1,0.04,0.04,0.07,0.02,0.02
ADCY10,0.01,0.01,0.01,0.01,0.01
ADCY2,0.00,0.00,0.00,0.00,0.00
ADCY3,1.59,1.66,1.58,1.58,1.04
ADCY4,0.00,0.00,0.00,0.00,0.11
ADCY5,0.01,0.01,0.01,0.01,0.00
ADCY6,1.99,2.03,2.08,1.98,1.94
ADCY7,2.32,2.35,1.81,2.30,3.20
ADCY8,0.00,0.00,0.00,0.00,0.00
ADCY9,0.32,0.34,0.33,0.32,0.19
ADCYAP1,0.00,0.00,0.00,0.00,0.01
ADCYAP1R1,0.00,0.00,0.00,0.00,0.00
ADD1,2.72,2.75,2.77,2.62,1.56
ADD2,0.60,0.50,0.98,0.81,0.33
ADD3,0.63,0.48,0.59,0.56,0.95
ADGB,0.06,0.05,0.04,0.04,0.04
ADH1A,0.01,0.00,0.01,0.01,0.00
ADH1B,0.00,0.00,0.00,0.00,0.00
ADH1C,0.00,0.00,0.00,0.00,0.00
ADH4,0.01,0.01,0.01,0.01,0.00
ADH5,10.18,6.52,6.17,10.29,5.07
ADH6,0.25,0.24,0.21,0.29,0.04
ADH7,0.00,0.00,0.00,0.00,0.00
ADHFE1,0.03,0.04,0.04,0.04,0.23
ADI1,3.87,3.05,2.58,3.97,2.18
ADIPOQ,0.01,0.01,0.00,0.01,0.00
ADIPOR1,5.59,5.24,5.13,5.33,4.95
ADIPOR2,1.53,1.21,0.98,1.53,1.22
ADIRF,0.00,0.00,0.00,0.01,0.00
ADK,0.09,0.06,0.05,0.09,0.11
ADM,6.50,5.42,4.92,4.31,0.53
ADM2,2.54,1.57,2.49,1.99,0.50
ADM5,5.48,7.61,8.92,5.79,5.15
ADNP,9.50,7.71,7.93,9.57,6.63
ADNP2,3.70,2.72,2.51,3.65,2.09
ADO,10.54,9.23,10.63,10.38,9.23
ADORA1,0.01,0.00,0.03,0.03,0.00
ADORA2A,0.36,0.32,0.25,0.38,0.09
ADORA2B,0.34,0.20,0.21,0.33,0.38
ADORA3,0.00,0.00,0.00,0.00,0.05
ADPGK,2.58,2.40,2.50,4.50,5.60
ADPRH,0.42,0.22,0.01,0.46,0.71
ADPRHL1,0.47,0.54,0.27,0.43,0.06
ADPRHL2,8.49,8.56,8.07,8.34,5.36
ADPRM,0.34,0.31,0.31,0.32,0.95
ADRA1A,0.02,0.02,0.08,0.00,0.01
ADRA1B,0.29,0.30,0.36,0.28,0.19
ADRA1D,0.00,0.00,0.00,0.00,0.00
ADRA2A,0.09,0.04,0.02,0.05,0.18
ADRA2B,0.68,0.86,0.26,0.66,0.02
ADRA2C,0.50,0.62,0.33,0.34,0.38
ADRB1,0.06,0.05,0.09,0.09,0.08
ADRB2,0.02,0.01,0.02,0.00,0.34
ADRBK1,4.41,4.55,4.32,4.55,17.02
ADRBK2,0.25,0.19,0.19,0.24,0.18
ADRM1,21.34,28.87,34.23,20.67,7.30
ADSL,8.87,6.73,7.40,8.81,6.84
ADSS,1.56,1.16,1.13,1.59,1.86
ADSSL1,0.02,0.01,0.03,0.01,0.05
ADTRP,0.00,0.00,0.00,0.00,0.00
AE000662.92,0.00,0.00,0.00,0.00,0.03
AEBP1,0.01,0.01,1.14,0.01,0.01
AEBP2,3.99,3.20,3.16,4.01,5.61
AEN,12.44,14.04,15.06,25.70,19.75
AES,18.36,22.13,22.70,17.19,12.54
AF131215.5,0.01,0.00,0.00,0.02,0.03
AF165138.7,0.00,0.00,0.00,0.00,0.04
AF196779.12,5.77,6.10,6.15,5.18,5.87
AFAP1,0.25,0.23,0.24,0.25,0.02
AFAP1L1,0.06,0.06,0.04,0.06,0.05
AFAP1L2,0.01,0.00,0.01,0.01,0.00
AFF1,0.60,0.55,0.44,0.61,0.47
AFF2,0.15,0.13,0.11,0.13,0.00
AFF3,0.00,0.00,0.00,0.00,0.00
AFF4,1.64,1.41,1.21,1.58,0.74
AFG3L2,3.76,2.98,2.65,3.69,2.56
AFMID,1.09,1.09,0.96,0.85,1.23
AFP,0.00,0.00,0.00,0.00,0.00
AFTPH,0.57,0.44,0.45,0.56,0.61
AGA,2.29,1.71,1.83,1.68,2.00
AGAP1,0.11,0.12,0.11,0.11,0.06
AGAP10,0.17,0.24,0.25,0.21,0.19
AGAP2,0.02,0.01,0.00,0.01,1.30
AGAP2-AS1,0.01,0.00,0.01,0.03,1.81
AGAP3,3.63,4.01,3.66,3.56,2.01
AGAP4,0.18,0.22,0.23,0.20,0.20
AGAP5,0.25,0.31,0.30,0.25,0.23
AGAP6,0.52,0.54,0.57,0.50,0.49
AGAP7,0.19,0.22,0.23,0.19,0.18
AGAP8,0.08,0.09,0.09,0.07,0.10
AGBL1,0.00,0.00,0.00,0.00,0.00
AGBL2,0.00,0.00,0.00,0.00,0.00
AGBL3,0.05,0.05,0.07,0.04,0.08
AGBL4,0.00,0.00,0.00,0.00,0.00
AGBL5,6.04,6.41,6.89,5.85,3.87
AGER,1.68,2.70,3.46,1.63,3.25
AGFG1,1.36,1.01,0.97,1.33,0.72
AGFG2,0.31,0.32,0.34,0.27,0.16
AGGF1,1.27,1.03,0.71,1.13,1.32
AGK,0.64,0.57,0.56,0.62,0.68
AGL,2.05,1.37,0.81,2.50,0.44
AGMAT,0.01,0.02,0.02,0.01,0.00
AGMO,0.00,0.00,0.00,0.00,0.00
AGO1,1.67,1.70,1.49,1.74,0.67
AGO2,0.49,0.48,0.44,0.46,0.27
AGO3,0.12,0.13,0.13,0.12,0.11
AGO4,0.62,0.61,0.41,0.65,1.15
AGPAT1,11.49,12.59,13.44,11.80,6.00
AGPAT2,2.48,2.86,3.02,2.29,2.83
AGPAT3,0.37,0.37,0.50,0.38,0.75
AGPAT4,0.10,0.10,0.12,0.10,0.10
AGPAT5,1.50,1.07,1.04,1.54,2.72
AGPAT6,2.49,2.63,2.49,2.46,3.20
AGPAT9,0.48,0.27,0.40,0.50,0.34
AGPS,0.77,0.53,0.60,0.76,0.59
AGR2,0.01,0.01,0.00,0.01,0.00
AGR3,0.04,0.04,0.02,0.03,0.03
AGRN,2.54,2.84,3.53,2.34,1.05
