Gene,A11.C636,A11,E9,HAP1.C597,KBM7
UBE4A,2.81,2.31,2.03,2.74,2.76
UBE4B,0.83,0.74,0.58,0.64,0.48
UBFD1,10.92,8.30,8.31,11.44,4.76
UBIAD1,2.08,2.19,2.27,2.15,1.93
UBL3,0.36,0.28,0.28,0.37,0.27
UBL4A,50.18,50.36,47.39,46.17,23.13
UBL5,45.55,32.53,34.08,42.95,28.85
UBL7,4.29,3.90,4.06,7.51,4.86
UBLCP1,3.08,2.26,2.08,2.86,1.28
UBN1,3.18,3.10,2.67,3.20,2.10
UBN2,0.44,0.37,0.36,0.43,0.41
UBOX5,1.73,1.27,1.19,1.64,0.90
UBP1,2.50,2.28,2.35,2.53,1.50
UBQLN1,4.75,3.90,3.47,4.78,3.13
UBQLN2,36.90,33.78,34.35,35.40,19.66
UBQLN4,4.30,4.75,4.92,4.50,3.01
UBQLNL,0.02,0.02,0.00,0.00,0.07
UBR1,0.31,0.24,0.23,0.32,0.20
UBR2,0.46,0.39,0.40,0.46,0.51
UBR3,0.28,0.20,0.17,0.30,0.20
UBR4,1.18,1.15,1.15,1.09,1.12
UBR5,0.98,0.90,0.91,1.07,2.45
UBR7,5.58,4.28,3.80,5.01,4.13
UBTD1,0.14,0.16,0.15,0.15,0.07
UBTD2,0.80,0.59,0.68,0.74,0.53
UBTF,12.41,14.61,14.19,12.70,8.17
UBXN1,26.54,31.28,30.82,25.34,24.14
UBXN10,0.02,0.01,0.00,0.04,0.00
UBXN11,0.90,1.18,1.33,0.82,1.92
UBXN2A,0.65,0.47,0.45,0.64,0.41
UBXN2B,1.52,1.38,1.17,1.42,1.37
UBXN4,3.33,2.50,2.23,3.11,2.90
UBXN6,3.19,4.49,4.26,3.14,3.19
UBXN7,1.18,0.94,0.94,1.17,1.14
UCHL1,44.63,35.81,34.86,37.71,4.15
UCHL3,0.72,0.49,0.44,0.65,0.47
UCHL5,1.68,1.37,1.17,1.61,1.14
UCK1,7.82,7.42,6.82,7.29,2.71
UCK2,1.02,0.92,0.94,1.01,0.56
UCKL1,3.47,5.49,5.71,3.37,1.92
UCMA,0.01,0.00,0.00,0.00,0.00
UCN,0.55,0.64,0.75,0.40,1.10
UCN2,0.00,0.01,0.02,0.01,0.00
UCP1,0.32,0.17,0.27,0.38,0.00
UCP2,2.85,2.26,1.90,2.54,3.34
UCP3,0.10,0.14,0.15,0.07,0.06
UEVLD,0.23,0.16,0.13,0.24,0.08
UFC1,9.94,10.09,9.93,9.89,15.90
UFD1L,3.03,2.70,2.80,2.89,1.48
UFL1,1.33,1.11,1.17,1.22,1.50
UFM1,5.65,4.26,4.04,5.49,5.16
UFSP1,0.39,0.69,0.62,0.45,0.30
UFSP2,1.22,0.99,1.05,1.14,0.76
UGCG,1.09,0.66,0.49,1.01,0.48
UGDH,2.23,1.63,1.44,1.92,0.62
UGGT1,1.17,0.91,0.86,1.11,0.83
UGGT2,0.08,0.05,0.06,0.08,0.08
UGP2,3.03,2.32,1.64,3.00,2.20
UGT1A1,0.04,0.03,0.06,0.01,0.00
UGT1A10,0.00,0.00,0.00,0.00,0.00
UGT1A3,0.01,0.01,0.02,0.00,0.00
UGT1A4,0.01,0.01,0.01,0.00,0.00
UGT1A6,0.00,0.00,0.00,0.00,0.00
UGT1A8,0.00,0.00,0.00,0.00,0.00
UGT1A9,0.00,0.00,0.00,0.00,0.00
UGT2A1,0.02,0.07,0.00,0.00,0.00
UGT2A3,0.00,0.00,0.00,0.00,0.00
UGT2B10,0.00,0.00,0.00,0.00,0.00
UGT2B11,0.01,0.02,0.00,0.00,0.19
UGT2B15,0.00,0.00,0.00,0.00,0.00
UGT2B28,0.00,0.01,0.00,0.00,0.27
UGT2B4,0.00,0.00,0.00,0.00,0.00
UGT2B7,0.00,0.01,0.00,0.00,0.01
UGT3A1,0.00,0.00,0.00,0.00,0.00
UGT3A2,0.29,0.16,0.04,0.23,0.09
UGT8,0.00,0.00,0.00,0.00,0.00
UHMK1,3.43,2.24,1.86,3.48,2.18
UHRF1BP1,1.43,1.07,1.02,1.49,0.99
UHRF1BP1L,0.39,0.30,0.30,0.38,0.27
UHRF2,0.77,0.57,0.56,0.71,1.02
UIMC1,0.48,0.41,0.38,0.50,0.49
ULBP1,5.18,3.54,3.38,4.47,4.55
ULBP2,0.83,0.49,0.49,0.75,0.60
ULBP3,1.45,1.41,1.28,1.28,0.56
ULK1,1.23,1.69,1.75,1.33,0.94
ULK2,0.00,0.01,0.00,0.00,0.00
ULK3,6.52,7.99,6.80,12.74,13.75
ULK4,0.01,0.01,0.01,0.01,0.01
UMODL1,0.00,0.00,0.00,0.00,0.01
UMPS,6.98,5.73,5.05,6.68,2.98
UNC119,6.59,6.70,7.76,6.54,3.06
UNC119B,8.48,6.99,7.18,8.26,3.58
UNC13A,0.00,0.00,0.00,0.00,0.00
UNC13B,0.41,0.44,0.36,0.44,0.29
UNC13C,0.00,0.00,0.00,0.00,0.00
UNC13D,0.04,0.04,0.05,0.04,4.89
UNC45A,6.81,6.89,4.78,7.12,2.45
UNC45B,0.00,0.00,0.00,0.00,0.00
UNC50,4.37,4.07,4.03,4.00,4.88
UNC5A,0.01,0.02,0.01,0.01,0.05
UNC5B,0.07,0.05,0.06,0.06,0.03
UNC5C,0.02,0.01,0.01,0.02,0.03
UNC5CL,0.06,0.12,0.09,0.07,0.09
UNC5D,0.13,0.11,0.10,0.12,0.06
UNC79,0.05,0.07,0.02,0.04,0.00
UNC80,0.00,0.00,0.00,0.00,0.00
UNC93A,0.00,0.00,0.00,0.00,0.00
UNC93B1,0.76,0.70,1.08,0.76,1.56
UNCX,0.00,0.00,0.10,0.00,0.01
UNG,6.35,5.09,5.60,6.42,6.35
UNK,1.41,1.15,1.07,1.55,0.84
UNKL,1.92,2.24,2.47,1.83,1.10
UPB1,0.00,0.00,0.00,0.00,0.00
UPF1,4.97,5.56,5.49,4.74,3.32
UPF2,0.66,0.64,0.60,0.68,0.75
UPF3A,2.33,2.83,3.02,2.18,1.58
UPF3B,5.21,4.60,4.46,5.35,3.25
UPK1B,0.00,0.00,0.00,0.00,0.00
UPK2,0.00,0.02,0.02,0.00,0.02
UPK3A,0.00,0.00,0.00,0.00,0.00
UPK3B,0.03,0.03,0.01,0.01,0.01
UPK3BL,0.62,0.79,0.79,0.52,0.98
UPP1,1.00,0.92,0.98,0.75,0.27
UPP2,0.00,0.00,0.00,0.00,0.00
UPRT,0.42,0.40,0.43,0.38,0.26
UQCC1,0.77,0.76,0.77,0.78,0.70
UQCC2,2.29,1.79,1.73,2.12,1.70
UQCR10,34.70,30.39,33.29,33.68,17.46
UQCR11,3.90,3.86,4.50,3.76,3.20
UQCRB,17.36,16.26,15.51,17.45,31.17
UQCRC1,22.73,20.16,19.12,22.07,14.58
UQCRC2,7.89,6.64,6.14,8.09,10.16
UQCRFS1,20.57,13.95,12.43,20.57,11.86
UQCRH,12.96,9.38,9.39,12.29,9.84
UQCRQ,74.41,51.01,50.82,78.26,43.81
URAD,0.00,0.00,0.00,0.00,0.00
URB1,1.27,1.16,1.23,1.30,1.04
URB2,2.39,1.74,1.68,2.39,1.16
URGCP,0.92,0.93,0.81,0.94,0.56
URGCP-MRPS24,2.48,2.30,2.12,2.52,1.58
URI1,2.22,1.83,1.55,2.18,2.96
URM1,1.09,1.22,1.18,1.05,0.73
UROC1,0.00,0.00,0.00,0.00,0.00
UROD,33.54,30.05,32.44,30.80,20.98
UROS,0.71,0.57,0.45,0.80,0.63
USB1,4.26,3.52,3.67,3.97,2.04
USE1,1.24,1.65,1.98,1.35,2.47
USF1,9.37,10.56,11.32,9.15,8.33
USF2,7.15,8.93,9.94,7.40,4.74
USH1C,0.00,0.00,0.00,0.00,0.00
USH1G,0.06,0.04,0.08,0.07,0.12
USH2A,0.00,0.00,0.00,0.00,0.00
USHBP1,0.01,0.01,0.02,0.01,0.02
USMG5,13.40,8.39,9.24,12.90,7.79
USP1,11.52,7.61,6.89,10.67,6.66
USP10,2.07,1.82,1.87,2.00,1.62
USP11,9.04,9.23,10.75,8.85,8.11
USP12,0.48,0.34,0.31,0.41,0.47
USP13,0.51,0.44,0.39,0.49,0.42
USP14,4.20,2.93,2.36,3.80,1.70
USP15,0.46,0.30,0.30,0.43,1.01
USP16,3.00,2.30,2.15,3.15,1.90
USP18,0.91,0.71,0.61,0.79,0.35
USP19,7.64,7.91,8.06,7.77,5.80
USP2,0.36,0.34,0.30,0.35,0.50
USP20,0.51,0.62,0.60,0.54,0.79
USP21,5.22,5.47,5.04,4.53,5.03
USP22,8.14,8.07,7.37,8.42,4.44
USP25,0.29,0.23,0.21,0.25,0.35
USP26,0.00,0.00,0.02,0.01,0.00
USP27X,5.32,4.45,4.65,5.23,5.80
USP28,0.83,0.69,0.76,0.75,0.71
USP29,0.00,0.00,0.00,0.00,0.00
USP3,0.36,0.28,0.22,0.67,0.89
USP30,0.57,0.50,0.51,0.58,0.63
USP31,1.25,1.29,1.29,1.17,0.68
USP32,0.35,0.29,0.22,0.37,0.44
USP33,1.40,1.06,0.98,1.35,1.20
USP34,0.48,0.41,0.37,0.46,0.61
USP35,0.54,0.51,0.77,0.52,0.42
USP36,1.88,2.19,2.34,1.93,1.71
USP37,0.42,0.30,0.30,0.41,0.30
USP38,1.31,0.94,0.88,1.23,0.79
USP39,5.20,4.22,3.94,5.07,2.45
USP4,0.72,0.61,0.57,0.69,0.74
USP40,0.56,0.58,0.52,0.54,0.36
USP42,0.53,0.55,0.50,0.54,0.36
USP43,0.06,0.04,0.05,0.06,0.05
USP44,0.00,0.01,0.00,0.01,0.03
USP45,0.34,0.28,0.28,0.33,0.53
USP46,1.17,0.75,0.75,1.07,0.46
USP47,0.82,0.66,0.62,0.80,0.74
USP48,1.21,1.06,0.98,1.21,0.88
USP49,0.07,0.08,0.10,0.07,0.08
USP5,10.81,11.11,11.37,10.67,5.00
USP50,0.05,0.04,0.03,0.04,0.04
USP51,0.20,0.26,0.46,0.26,1.11
USP53,0.34,0.23,0.21,0.34,0.31
USP54,0.20,0.16,0.14,0.19,0.08
USP6,0.17,0.18,0.14,0.17,0.26
USP6NL,0.58,0.54,0.48,0.53,0.27
USP7,4.04,3.82,3.68,4.11,2.39
USP8,0.98,0.86,0.81,0.96,0.83
USP9X,3.26,2.70,2.44,3.48,1.55
USP9Y,0.00,0.00,0.00,0.00,0.19
USPL1,1.09,0.83,0.85,0.83,0.73
UST,0.10,0.08,0.11,0.09,0.04
UTF1,0.30,0.24,0.32,0.19,0.00
UTP11L,6.63,5.48,5.10,6.16,3.64
UTP14A,5.74,6.13,5.87,5.59,4.12
UTP14C,5.83,5.13,4.97,6.00,5.26
UTP15,2.66,2.07,2.07,2.45,1.46
UTP18,2.78,1.71,1.63,2.66,1.94
UTP20,1.03,0.87,0.95,0.95,0.41
UTP23,4.97,3.88,3.93,4.70,8.60
UTP3,38.42,35.27,34.69,36.94,29.25
UTP6,2.26,1.88,2.05,2.21,1.73
UTRN,0.29,0.27,0.42,0.36,0.13
UTS2,0.00,0.00,0.00,0.00,0.00
UTS2B,0.03,0.03,0.03,0.02,0.02
UTS2R,0.00,0.02,0.01,0.04,0.00
UTY,0.00,0.00,0.00,0.00,0.08
UVRAG,0.15,0.11,0.07,0.13,0.09
UVSSA,0.50,0.57,0.55,0.49,0.27
UXS1,0.36,0.33,0.33,0.33,0.76
UXT,8.36,8.52,8.05,8.51,15.01
VAC14,0.88,0.99,0.85,0.88,0.49
VAMP1,2.10,2.63,2.31,2.00,5.22
VAMP2,10.61,14.68,17.34,11.37,14.31
VAMP3,10.57,8.13,7.13,9.84,4.80
VAMP4,0.34,0.25,0.23,0.30,0.61
VAMP5,0.00,0.00,0.00,0.00,0.42
VAMP7,0.73,0.49,0.42,0.61,0.81
VAMP8,0.20,0.09,0.09,0.37,31.35
VANGL1,0.35,0.32,0.32,0.33,0.39
VANGL2,1.59,1.71,1.80,1.66,1.52
VAPA,2.28,1.68,1.72,2.22,2.10
VAPB,1.28,1.20,1.10,1.32,0.59
VARS,17.15,17.53,17.61,16.33,4.57
VARS2,5.99,7.19,7.24,6.09,2.84
VASH1,2.23,2.33,1.52,1.95,1.08
VASH2,0.54,0.43,0.38,0.73,0.39
VASN,0.01,0.01,0.01,0.01,0.01
VASP,1.47,1.31,1.49,1.38,4.55
VAT1,30.38,26.65,15.91,31.58,26.63
VAT1L,0.00,0.00,0.00,0.00,0.01
VAV1,0.00,0.00,0.00,0.00,0.90
VAV2,0.42,0.47,0.49,0.46,0.16
VAV3,0.01,0.00,0.00,0.01,0.12
VAX1,0.00,0.00,0.00,0.00,0.00
VAX2,0.36,0.37,0.36,0.33,0.38
VBP1,9.10,5.30,5.19,8.55,5.22
